"Archived - Life expectancy, at birth and at age 65, by sex, three-year average, Canada, provinces, territories, health regions and peer groups, inactive 1 2 3 4 5 6 7 8"
"Frequency: Occasional"
"Table: 13-10-0063-01 (formerly CANSIM 102-4308)"
"Release date: 2018-08-22"
"Geography: Canada, Province or territory, Health region, Local health integration network, Public health unit"
""
""

"Age group","At birth",,,,
"Région de la Mauricie et du Centre-du-Québec, Quebec","83.5","83.6","83.8","84.0","84.2"
"Région de l'Estrie, Quebec","84.4","84.5","84.4","84.4","84.8"
"Région de Montréal, Quebec","84.0","84.3","84.4","84.7","84.9"
"Région de l'Outaouais, Quebec","82.6","82.5","82.8","83.2","83.5"
"Région de l'Abitibi-Témiscamingue, Quebec","82.1","82.0","82.3","82.3","82.6"
"Région de la Côte-Nord, Quebec","82.9","83.0","83.5","83.2","83.2"
"Région du Nord-du-Québec, Quebec","80.4","80.5","81.4","81.9","82.0"
"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec","82.7","82.9","83.1","82.8","83.0"
"Région de la Chaudière-Appalaches, Quebec","84.9","84.7","84.6","84.6","84.9"
"Région de Laval, Quebec","84.8","84.8","85.2","85.3","85.7"
"Région de Lanaudière, Quebec","83.0","83.1","83.6","83.6","83.8"
"Région des Laurentides, Quebec","83.0","83.3","83.6","83.6","83.7"
"Région de la Montérégie, Quebec","83.8","84.0","84.0","84.1","84.3"
"Région du Nunavik, Quebec","70.2","68.9","68.6","70.2","71.4"
"Région des Terres-Cries-de-la-Baie-James, Quebec","79.0","76.6","77.3","77.4","79.0"
"Erie St. Clair Health Integration Network, Ontario","83.3","83.5","83.4","83.3","83.4"
"South West Health Integration Network, Ontario","83.6","83.6","83.5","83.4","83.6"
"Waterloo Wellington Health Integration Network, Ontario","84.0","84.1","84.0","84.0","83.9"
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","83.3","83.6","83.5","83.4","83.4"
"Central West Health Integration Network, Ontario","86.6","86.8","86.8","86.9","86.9"
"Mississauga Halton Health Integration Network, Ontario","85.6","85.9","85.9","86.1","86.3"
"Toronto Central Health Integration Network, Ontario","86.1","86.4","86.5","86.9","87.2"
"Central Health Integration Network, Ontario","86.3","86.8","86.8","86.9","86.9"
"Central East Health Integration Network, Ontario","84.7","85.0","84.9","85.1","85.2"
"South East Health Integration Network, Ontario","82.7","82.7","82.6","82.7","82.9"
"Champlain Health Integration Network, Ontario","84.5","84.7","84.7","84.6","84.6"
"North Simcoe Muskoka Health Integration Network, Ontario","83.4","83.5","83.2","83.1","83.2"
"North East Health Integration Network, Ontario","82.0","82.0","82.0","81.9","82.2"
"North West Health Integration Network, Ontario","80.8","80.6","80.5","80.4","80.2"
"District of Algoma Health Unit, Ontario","81.8","81.7","81.9","81.6","81.9"
"Brant County Health Unit, Ontario","81.6","82.0","82.1","82.1","82.2"
"Durham Regional Health Unit, Ontario","84.1","84.2","84.2","84.5","84.6"
"Elgin-St. Thomas Health Unit, Ontario","82.5","82.4","82.1","81.9","82.0"
"Grey Bruce Health Unit, Ontario","83.6","83.8","83.6","83.5","83.7"
"Haldimand-Norfolk Health Unit, Ontario","83.0","83.5","83.3","82.7","82.8"
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","82.6","83.2","83.1","83.7","83.5"
"Halton Regional Health Unit, Ontario","85.0","85.5","85.6","85.8","85.9"
"City of Hamilton Health Unit, Ontario","83.8","84.0","83.7","83.7","83.7"
"Hastings and Prince Edward Counties Health Unit, Ontario","82.7","82.8","82.5","82.6","82.7"
"Huron County Health Unit, Ontario","83.7","83.7","83.1","82.5","82.5"
"Chatham-Kent Health Unit, Ontario","83.3","82.8","82.6","82.0","82.6"
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","82.9","82.7","82.7","82.8","83.3"
"Lambton Health Unit, Ontario","82.7","83.0","83.4","83.2","83.3"
"Leeds, Grenville and Lanark District Health Unit, Ontario","83.1","83.1","83.2","83.2","83.0"
"Middlesex-London Health Unit, Ontario","83.9","84.1","84.1","84.1","84.2"
"Niagara Regional Area Health Unit, Ontario","83.5","83.6","83.6","83.6","83.6"
"North Bay Parry Sound District Health Unit, Ontario","82.6","82.9","82.8","82.6","82.8"
"Northwestern Health Unit, Ontario","80.1","79.7","79.1","79.2","78.9"
"City of Ottawa Health Unit, Ontario","85.0","85.2","85.2","85.2","85.2"
"Oxford County Health Unit, Ontario","83.1","83.3","83.2","83.3","83.2"
"Peel Regional Health Unit, Ontario","86.0","86.2","86.2","86.3","86.4"
"Perth District Health Unit, Ontario","83.3","83.1","83.3","82.9","83.3"
"Peterborough County-City Health Unit, Ontario","84.0","84.3","84.0","83.9","83.6"
"Porcupine Health Unit, Ontario","81.2","81.1","80.8","80.2","80.6"
"Renfrew County and District Health Unit, Ontario","83.8","83.7","83.8","83.4","83.2"
"Eastern Ontario Health Unit, Ontario","82.9","83.2","83.0","82.7","83.1"
"Simcoe Muskoka District Health Unit, Ontario","83.6","83.6","83.4","83.3","83.5"
"Sudbury and District Health Unit, Ontario","81.8","81.5","81.8","81.9","82.5"
"Thunder Bay District Health Unit, Ontario","81.2","81.2","81.3","81.1","80.9"
"Timiskaming Health Unit, Ontario","82.1","82.5","82.7","82.2","81.8"
"Waterloo Health Unit, Ontario","84.0","84.2","84.1","84.0","83.7"
"Wellington-Dufferin-Guelph Health Unit, Ontario","83.5","83.5","83.4","83.4","83.6"
"Windsor-Essex County Health Unit, Ontario","83.6","83.8","83.7","83.7","83.6"
"York Regional Health Unit, Ontario","86.5","86.9","86.8","87.0","86.9"
"City of Toronto Health Unit, Ontario","86.0","86.4","86.5","86.7","87.0"
"Winnipeg Regional Health Authority, Manitoba","82.4","82.7","82.7","82.8","82.8"
"Prairie Mountain Health, Manitoba","82.4","82.5","82.7","82.5","82.1"
"Interlake-Eastern Regional Health Authority, Manitoba","82.4","82.1","82.1","82.2","82.1"
"Northern Regional Health Authority, Manitoba","75.0","75.5","76.3","76.2","75.8"
"Southern Health, Manitoba","83.5","83.8","83.9","83.9","83.7"
"Sun Country Regional Health Authority, Saskatchewan","82.4","81.9","82.4","83.0","83.7"
"Five Hills Regional Health Authority, Saskatchewan","82.9","83.0","83.0","83.1","83.2"
"Cypress Regional Health Authority, Saskatchewan","82.7","82.7","83.4","83.8","84.1"
"Regina Qu'Appelle Regional Health Authority, Saskatchewan","82.5","82.5","82.5","82.5","82.6"
"Sunrise Regional Health Authority, Saskatchewan","82.1","82.0","82.4","82.2","82.5"
"Saskatoon Regional Health Authority, Saskatchewan","83.2","83.4","83.4","83.4","83.3"
"Heartland Regional Health Authority, Saskatchewan","82.0","82.3","82.6","82.3","82.6"
"Kelsey Trail Regional Health Authority, Saskatchewan","82.3","81.8","82.0","81.3","81.4"
"Prince Albert Parkland Regional Health Authority, Saskatchewan","81.6","80.8","81.0","81.1","82.2"
"Prairie North Regional Health Authority, Saskatchewan","81.3","81.6","81.7","81.5","81.2"
"Mamawetan/Keewatin/Athabasca, Saskatchewan 7 15","76.2","77.3","76.8","75.8","75.3"
"South Zone, Alberta","83.0","82.6","82.1","82.2","82.2"
"Calgary Zone, Alberta","85.2","85.1","85.1","85.2","85.4"
"Central Zone, Alberta","82.6","82.2","82.0","82.1","82.3"
"Edmonton Zone, Alberta","84.4","84.2","84.2","84.3","84.5"
"North Zone, Alberta","82.3","82.0","81.5","81.2","81.3"
"East Kootenay Health Service Delivery Area, British Columbia","82.5","83.0","83.3","83.2","82.8"
"Kootenay-Boundary Health Service Delivery Area, British Columbia","83.2","83.6","83.0","83.1","83.0"
"Okanagan Health Service Delivery Area, British Columbia","84.0","84.1","84.2","84.2","84.0"
"Thompson/Cariboo Health Service Delivery Area, British Columbia","82.6","82.7","82.6","82.7","82.8"
"Fraser East Health Service Delivery Area, British Columbia","83.3","83.5","83.5","83.7","83.4"
"Fraser North Health Service Delivery Area, British Columbia","85.0","85.4","85.4","85.5","85.3"
"Fraser South Health Service Delivery Area, British Columbia","84.5","84.5","84.8","84.9","85.1"
"Richmond Health Service Delivery Area, British Columbia","86.6","86.9","87.7","88.1","88.1"
"Vancouver Health Service Delivery Area, British Columbia","86.2","86.4","86.6","86.8","86.8"
"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia","85.9","85.7","85.6","85.5","85.6"
"South Vancouver Island Health Service Delivery Area, British Columbia","84.6","84.7","85.1","85.1","85.0"
"Central Vancouver Island Health Service Delivery Area, British Columbia","83.5","83.5","83.7","83.5","83.6"
"North Vancouver Island Health Service Delivery Area, British Columbia","83.2","83.1","82.9","83.3","83.8"
"Northwest Health Service Delivery Area, British Columbia","81.2","80.9","81.2","82.1","83.0"
"Northern Interior Health Service Delivery Area, British Columbia","81.4","81.5","81.8","81.5","81.5"
"Northeast Health Service Delivery Area, British Columbia","81.4","82.2","83.4","82.3","81.4"
"Yukon 7","81.4","81.3","81.9","81.5","82.1"
"Northwest Territories 7","79.9","80.2","79.6","79.6","79.8"
"Nunavut 7","74.3","73.0","73.9","73.9","73.1"




Footnotes:
1,"Sources: Statistics Canada, Canadian Vital Statistics, Death Database and Demography Division (population estimates). The table 13-10-0063-01 was an update of table 13-10-0409-01.  It is now archived due to a change in geography. More recent data are in table 13-10-0389-01."
2,"Life expectancy is the number of years a person would be expected to live, starting from birth (for life expectancy at birth) and similarly for other age groups, if the age- and sex-specific mortality rates for a given observation period (such as a calendar year) were held constant over the estimated life span."
3,"In this table, the calculation of life expectancy is based on three consecutive years of death data and population estimates."
4,"Life expectancy is calculated according the methodology described in <a href="http://www5.statcan.gc.ca/olc-cel/olc.action?ObjId=84-538-X&ObjType=2&lang=en&limit=0">Methods for Constructing Life Tables for Canada, Provinces and Territories, catalogue no. 84-538</a>. Life expectancy originates from complete life tables, by single years of age and sex, for Canada and for nine provinces: Newfoundland and Labrador, Nova Scotia, New Brunswick, Quebec, Ontario, Manitoba, Saskatchewan, Alberta and British Columbia. For Prince Edward Island, Yukon, the Northwest Territories, Nunavut and all health regions, abridged life tables were computed, that is by 5-year age groups and sex."
5,"Rates used in this table for the calculation of life expectancy are calculated with data that exclude: births to mothers not resident in Canada; births to mothers resident in Canada, province or territory of residence unknown; deaths of non-residents of Canada; deaths of residents of Canada whose province or territory of residence was unknown; deaths for which age or sex of decedent was unknown."
6,"Rates used for the calculation of life expectancy in this table are based on data tabulated by place of residence."
7,"Life expectancy for Canada, Provinces and Territories, as well as those health regions that represent the whole province or territory (PEI, Yukon, Northwest Territories, and Nunavut) comes from table 39-10-0007-01."
8,"The number of deaths in Ontario for 2016 is considered preliminary."
9,"The 95% confidence interval (CI) illustrates the degree of variability associated with a number."
10,"Wide confidence intervals (CIs) indicate high variability, thus, these numbers or rates should be interpreted and compared with due caution."
11,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period, (...) for figures not applicable and (x) for figures suppressed to meet the confidentiality requirements of the Statistics Act."
12,"For small populations (less than 25,000), life expectancy is shown with an 'E' (use with caution) to indicate that the quality of the estimates are more affected by the imputation method used when there are no deaths for a given age group."
13,"Health regions are administrative areas defined by provincial ministries of health according to provincial legislation. The health regions presented in this table are based on boundaries and names in effect as of December 2017. For complete Canadian coverage, each northern territory represents a health region."
14,"Peer groups are aggregations of health regions that share similar socio-economic and demographic characteristics, based on data from the 2011 Census of Population and 2011 National Household Survey. These are useful in the analysis of health regions, where important differences may be detected by comparing health regions within a peer group. The nine peer groups are identified by the letters A through I, which are appended to the health region 4-digit code. Caution should be taken when comparing data for the Peer Groups over time due to changes in the Peer Groups. In an analysis involving the peer groups, only one level of geography in Ontario should be used. For more information on the peer groups classification, consult Statistics Canada's publication "Health Regions: Boundaries and Correspondence with Census Geography" (catalogue number 82-402-X)."
15,"To avoid data suppression, northern regions in Saskatchewan have been grouped with neighbouring regions, as follows: Athabasca Health Authority (4713) is combined with Mamawetan Churchill River Regional Health Authority (4711) and Keewatin Yatthé Regional Health Authority (4712) and referred to as Mamawetan/Keewatin/Athabasca (4714)."



"How to cite: Statistics Canada. Table 13-10-0063-01  Life expectancy, at birth and at age 65, by sex, three-year average, Canada, provinces, territories, health regions and peer groups, inactive"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310006301
